item_id,ci95_width
1,0.1002035140991211
2,0.12243080139160156
3,0.11591291427612305
4,0.1031179428100586
5,0.11356306076049805
6,0.11591291427612305
7,0.10856437683105469
8,0.1002035140991211
9,0.09393548965454102
10,0.1031179428100586
11,0.1002035140991211
12,0.08697319030761719
13,0.1031179428100586
14,0.1002035140991211
15,0.11111593246459961
16,0.09714794158935547
17,0.11111593246459961
18,0.09393548965454102
19,0.08697319030761719
20,0.07480144500732422
21,0.08697319030761719
22,0.09393548965454102
23,0.09393548965454102
24,0.07913446426391602
25,0.08317804336547852
26,0.06503844261169434
27,0.09055042266845703
28,0.1002035140991211
29,0.07012748718261719
30,0.05942845344543457
31,0.15129661560058594
32,0.1493062973022461
33,0.15032291412353516
34,0.15222835540771484
35,0.15555953979492188
36,0.15222835540771484
37,0.14824867248535156
38,0.14824867248535156
39,0.1366100311279297
40,0.13954830169677734
41,0.14227581024169922
42,0.1350574493408203
43,0.15129661560058594
44,0.14356422424316406
45,0.14714622497558594
46,0.13954830169677734
47,0.14824867248535156
48,0.13954830169677734
49,0.1317758560180664
50,0.13954830169677734
51,0.1350574493408203
52,0.12637901306152344
53,0.13004302978515625
54,0.12243080139160156
55,0.1350574493408203
56,0.12824440002441406
57,0.12824440002441406
58,0.12444210052490234
59,0.1002035140991211
60,0.12034130096435547
61,0.1582803726196289
62,0.16365432739257812
63,0.16232681274414062
64,0.16042518615722656
65,0.16128826141357422
66,0.16324424743652344
67,0.16365432739257812
68,0.1633930206298828
69,0.16128826141357422
70,0.16285228729248047
71,0.16201400756835938
72,0.16042518615722656
73,0.1594228744506836
74,0.14714622497558594
75,0.15478515625
76,0.15886974334716797
77,0.16042518615722656
78,0.1576547622680664
79,0.1576547622680664
80,0.1531200408935547
81,0.15129661560058594
82,0.1562957763671875
83,0.15129661560058594
84,0.15032291412353516
85,0.15555953979492188
86,0.1531200408935547
87,0.1531200408935547
88,0.14714622497558594
89,0.15555953979492188
90,0.15129661560058594
91,0.16285228729248047
92,0.1594228744506836
93,0.16232681274414062
94,0.16201400756835938
95,0.1635885238647461
96,0.16260623931884766
97,0.16363811492919922
98,0.15129661560058594
99,0.16042518615722656
100,0.16260623931884766
101,0.16201400756835938
102,0.16128826141357422
103,0.16201400756835938
104,0.1633930206298828
105,0.16128826141357422
106,0.16350746154785156
107,0.16350746154785156
108,0.16363811492919922
109,0.16260623931884766
110,0.16350746154785156
111,0.1633930206298828
112,0.16324424743652344
113,0.16363811492919922
114,0.1599407196044922
115,0.16350746154785156
116,0.1633930206298828
117,0.16260623931884766
118,0.16363811492919922
119,0.16201400756835938
120,0.16260623931884766
121,0.15129661560058594
122,0.15032291412353516
123,0.12824440002441406
124,0.13344669342041016
125,0.14093780517578125
126,0.15032291412353516
127,0.15129661560058594
128,0.1448049545288086
129,0.1459980010986328
130,0.1493062973022461
131,0.1531200408935547
132,0.15032291412353516
133,0.14227581024169922
134,0.14714622497558594
135,0.1531200408935547
136,0.15129661560058594
137,0.15222835540771484
138,0.15699386596679688
139,0.15886974334716797
140,0.15886974334716797
141,0.1448049545288086
142,0.1531200408935547
143,0.15478515625
144,0.15397167205810547
145,0.15222835540771484
146,0.15555953979492188
147,0.1582803726196289
148,0.1576547622680664
149,0.16324424743652344
150,0.15478515625
151,0.10590171813964844
152,0.11591291427612305
153,0.10590171813964844
154,0.12444210052490234
155,0.11817026138305664
156,0.09714794158935547
157,0.1031179428100586
158,0.11817026138305664
159,0.12824440002441406
160,0.1031179428100586
161,0.12243080139160156
162,0.11111593246459961
163,0.12034130096435547
164,0.11591291427612305
165,0.1366100311279297
166,0.1317758560180664
167,0.11356306076049805
168,0.11591291427612305
169,0.12637901306152344
170,0.11817026138305664
171,0.12034130096435547
172,0.12824440002441406
173,0.1381063461303711
174,0.1381063461303711
175,0.1366100311279297
176,0.1350574493408203
177,0.12824440002441406
178,0.1317758560180664
179,0.1350574493408203
180,0.14093780517578125
