item_id,d_to_boundary_hat,ci95_width,p_est,true_p_mid,cefr_true,pearson_r
1,0.007042253521126751,0.07012748718261719,0.9507042253521126,0.9273956048555962,A1,0.0472237328227554
2,0.038732394366197354,0.11111593246459961,0.8661971830985915,0.8938878439752052,A1,0.0472237328227554
3,0.014084507042253502,0.07480144500732422,0.9436619718309859,0.9358597919911382,A1,0.0472237328227554
4,0.04225352112676051,0.09055042266845703,0.9154929577464789,0.9197368029059363,A1,0.0472237328227554
5,0.02464788732394385,0.11591291427612305,0.852112676056338,0.8594177347887649,A1,0.0472237328227554
6,0.014084507042253502,0.07480144500732422,0.9436619718309859,0.9475622351636755,A1,0.0472237328227554
7,0.028169014084507005,0.08317804336547852,0.9295774647887324,0.9261139701990353,A1,0.0472237328227554
8,0.035211267605633756,0.08697319030761719,0.9225352112676056,0.9286064305276953,A1,0.0472237328227554
9,0.04929577464788726,0.09393548965454102,0.9084507042253521,0.8628113632675546,A1,0.0472237328227554
10,0.06338028169014076,0.1002035140991211,0.8943661971830986,0.8950385937895566,A1,0.0472237328227554
11,0.05633802816901401,0.09714794158935547,0.9014084507042254,0.8870798024232581,A1,0.0472237328227554
12,0.0,0.06503844261169434,0.9577464788732394,0.9426764988848602,A1,0.0472237328227554
13,0.028169014084507005,0.08317804336547852,0.9295774647887324,0.9143865120080664,A1,0.0472237328227554
14,0.04225352112676051,0.09055042266845703,0.9154929577464789,0.9322761613270829,A1,0.0472237328227554
15,0.038732394366197354,0.11111593246459961,0.8661971830985915,0.8943414198827331,A1,0.0472237328227554
16,0.045774647887324105,0.10856437683105469,0.8732394366197183,0.8727238721784777,A1,0.0472237328227554
17,0.038732394366197354,0.11111593246459961,0.8661971830985915,0.9054584787015835,A1,0.0472237328227554
18,0.045774647887324105,0.10856437683105469,0.8732394366197183,0.8563817256104175,A1,0.0472237328227554
19,0.007042253521126751,0.07012748718261719,0.9507042253521126,0.9327631171992582,A1,0.0472237328227554
20,0.014084507042253502,0.07480144500732422,0.9436619718309859,0.9131664399122065,A1,0.0472237328227554
21,0.021126760563380254,0.07913446426391602,0.9366197183098591,0.9258087740085373,A1,0.0472237328227554
22,0.045774647887324105,0.10856437683105469,0.8732394366197183,0.8854525968129868,A1,0.0472237328227554
23,0.035211267605633756,0.08697319030761719,0.9225352112676056,0.9470698024394902,A1,0.0472237328227554
24,0.014084507042253502,0.07480144500732422,0.9436619718309859,0.9393121121322198,A1,0.0472237328227554
25,0.04225352112676051,0.09055042266845703,0.9154929577464789,0.9278383497073761,A1,0.0472237328227554
26,0.06338028169014076,0.1002035140991211,0.8943661971830986,0.8694638707851967,A1,0.0472237328227554
27,0.05281690140845097,0.10590171813964844,0.8802816901408451,0.8966721003727034,A1,0.0472237328227554
28,0.0035211267605631535,0.12444210052490234,0.823943661971831,0.8543803765787229,A1,0.0472237328227554
29,0.0176056338028171,0.11817026138305664,0.8450704225352113,0.8654289492067547,A1,0.0472237328227554
30,0.04225352112676051,0.09055042266845703,0.9154929577464789,0.9183048953242454,A1,0.0472237328227554
31,0.05281690140845052,0.1366100311279297,0.7746478873239436,0.8117143233861726,A2,0.0472237328227554
32,0.0176056338028171,0.11817026138305664,0.8450704225352113,0.8451264598651315,A2,0.0472237328227554
33,0.06690140845070403,0.13954830169677734,0.7605633802816901,0.7488738037207228,A2,0.0472237328227554
34,0.028169014084507116,0.14714622497558594,0.7183098591549296,0.7555689559052303,A2,0.0472237328227554
35,0.007042253521126751,0.15032291412353516,0.6971830985915493,0.7704333716913712,A2,0.0472237328227554
36,0.007042253521126751,0.15222835540771484,0.6830985915492958,0.7284207038626428,A2,0.0472237328227554
37,0.0,0.15129661560058594,0.6901408450704225,0.7194882258003207,A2,0.0472237328227554
38,0.05633802816901412,0.14227581024169922,0.7464788732394366,0.7713557389338901,A2,0.0472237328227554
39,0.059859154929577274,0.1381063461303711,0.7676056338028169,0.7340364023576326,A2,0.0472237328227554
40,0.017605633802816656,0.12824440002441406,0.8098591549295775,0.8004720992023765,A2,0.0472237328227554
41,0.05281690140845052,0.1366100311279297,0.7746478873239436,0.7655727878308496,A2,0.0472237328227554
42,0.0035211267605631535,0.12444210052490234,0.823943661971831,0.8249017294086756,A2,0.0472237328227554
43,0.06338028169014087,0.14093780517578125,0.7535211267605634,0.8050397653003374,A2,0.0472237328227554
44,0.03521126760563387,0.1459980010986328,0.7253521126760564,0.7468549962073061,A2,0.0472237328227554
45,0.024647887323943407,0.13004302978515625,0.8028169014084507,0.8248389702092801,A2,0.0472237328227554
46,0.024647887323943407,0.13004302978515625,0.8028169014084507,0.8207146536245202,A2,0.0472237328227554
