item_id,cefr_true,true_p_mid
1,A1,0.9273956048555962
2,A2,0.7658317659628078
5,C1,0.3787896879867074
6,C2,0.20460520435890459
8,A1,0.8594177347887649
10,A2,0.8463433527455133
11,B1,0.664170955298553
12,B1,0.667909645791543
13,B2,0.4192170449013319
14,B2,0.4675578906843351
15,C1,0.3056197036348872
16,C1,0.3890147483272903
17,C2,0.1965797680120997
18,C2,0.22341424199062448
194998,C2,0.16651212982409969
194999,C2,0.13408580826771654
195000,B1,0.6331877180523752
195001,A2,0.7095725884156262
195002,A1,0.9327631171992582
195003,C1,0.34474965986830974
195004,A2,0.8137131610128061
195005,A2,0.7531788952194802
195006,B2,0.5456047036592355
195007,A1,0.9393121121322198
195008,C2,0.21675752456106429
195009,A1,0.8694638707851967
195010,A2,0.7700081505590551
195011,B1,0.5565705648680843
195012,A1,0.8654289492067547
195013,A2,0.8024573429863682
195014,C1,0.3617143233861726
195015,C2,0.2451264598651315
195016,A2,0.7488738037207228
195017,A1,0.8870459706034869
195018,A1,0.8969555811275808
195019,B1,0.5784207038626429
195020,B2,0.41948822580032075
195021,C2,0.17135573893389006
195022,A2,0.7340364023576326
195023,A1,0.916981399468251
195024,B1,0.6155727878308497
195025,A1,0.9332678196057838
195026,A2,0.8050397653003374
195027,A2,0.7468549962073061
195028,C2,0.22483897020928018
195029,B1,0.6707146536245202
195030,A1,0.8887478379030174
195031,B2,0.44324921558953667
195032,A1,0.9182495503974976
195033,B1,0.5709628725413965
195034,A2,0.7299862303712662
195035,C1,0.25110434046265084
195036,C2,0.21803865662532076
195037,A1,0.9164850856592032
195038,A1,0.9205165378626334
195039,C1,0.3671093546532952
195040,A2,0.768837366330751
195041,A1,0.9068741195952893
195042,A1,0.8639796998127657
195043,C2,0.11717951103039602
195044,C2,0.20026044426857076
195045,A2,0.7706644309214699
195046,C1,0.33478541597217837
195047,A2,0.8147498286124037
195048,A2,0.7952077480000885
195049,A1,0.9053579400657995
195050,B2,0.4838810741118121
195051,A2,0.7455925147093918
195052,C1,0.25462267518519094
195053,A1,0.8936717389232363
195054,C1,0.2821877009229294
195055,A1,0.8908528643724636
195056,A1,0.9353403073268166
195057,A1,0.8733939485865341
195058,A1,0.8558302741689066
195059,C2,0.14220758380329948
195060,C1,0.29403906366500254
195061,B1,0.6492874772090342
195062,A2,0.7835548228511917
195063,A1,0.9283898209106414
195064,B2,0.4996470310491082
195065,A2,0.7609580292160105
195066,A1,0.9314020384666034
195067,B2,0.4250459379861556
195068,C2,0.10340681097007907
195069,B1,0.5635071791163463
195070,A2,0.8083539025894675
195071,C1,0.3192815845377081
195072,A1,0.8661271779033601
195073,A2,0.7751567162655045
195074,B1,0.5728468154069752
195075,B2,0.5044480562616604
195076,C1,0.3169234413361046
195077,C2,0.15715318391447236
195084,A1,0.8801512089147876
195085,A1,0.9130282593118888
195086,A1,0.886181261055339
195087,A1,0.85876499193161
195088,A1,0.8618005902120515
195089,A1,0.9461897664549515
195090,A1,0.9408580690707606
195091,A1,0.919970713381075
195092,A1,0.8765869961459519
195093,A1,0.9469176377347723
195094,A1,0.9278750903965794
195095,A2,0.8075335283738493
195096,A2,0.7674042253215683
195097,A2,0.7408362342767738
195098,A2,0.7144586443230249
195099,A2,0.8353903594815763
195100,A2,0.7683664434750417
195101,A2,0.7303545047192845
195102,A2,0.7458934936225978
195103,A2,0.7868829353412844
195104,A2,0.7265159174408847
195105,B1,0.6784921426138563
195106,B1,0.6637779294752815
195107,B1,0.6579194433926405
195108,B1,0.6148139559662655
195109,B1,0.6440963261053665
195110,B1,0.6376146953369103
195111,B1,0.647476990233223
195112,B1,0.5626666481709834
195113,B1,0.6123711103255914
195114,B1,0.5562421260792839
195115,B1,0.6240986228866778
195116,B1,0.5994791818499178
195117,B1,0.5716786283299071
195118,B2,0.41551044515838276
195119,B2,0.4881466858266568
195120,B2,0.4255889452805329
195121,B2,0.5387680177565196
195122,B2,0.4871591709550593
195123,B2,0.4520304706802256
195124,B2,0.4886373237222126
195125,B2,0.40342058065445463
195126,C1,0.39378388198621683
195127,C1,0.32234551554143503
195128,C1,0.36741028408754295
195129,C1,0.26240949998836577
195130,C1,0.32299874962572406
195131,C1,0.32360604915317814
195132,C1,0.39067396824624745
195133,C1,0.33575920785641133
195134,C1,0.3210234101585431
195135,C1,0.29004634946378405
195136,C2,0.14973534960138282
195137,C2,0.17810086037073067
195138,C2,0.165836719045757
195139,C2,0.10324181198204957
195140,C2,0.22394378862915368
195141,C2,0.234424115775965
195142,C2,0.12103736334979162
195143,C2,0.1831054215308574
195145,A1,0.8608575741135444
